,author_id,username,name,author_location,text,created_at,retweets,replies,likes,quote_count
121,2806335822,omarbinomran,عمر بن عمران,Kuwait Messila ,"RT @noofalmaadeed: ١٢/١٠/٢٠٢١
صارلي يومين برع الحجر. و اهلي ما نطرو علي اكمل اسبووع واحد.

و بدت محاولات الاغتيال. 

بس بخلوني. مو لازم عند…",2021-10-16 03:38:34+00:00,43,0,0,0
122,1026101688,d17April,طلق المحيا,الرياض,RT @noofalmaadeed: اختصار للتقصير الكبير الي صاير في أمان نوف المعاضيد ❤️ https://t.co/Ne1BpwnD64,2021-10-16 03:07:38+00:00,32,0,0,0
123,1388240878045732866,an_unknownacc,…,,RT @noofalmaadeed: hi. still not safe.,2021-10-16 02:39:43+00:00,61,0,0,0
124,1040091097995927553,euphoraw,رَوان,,@noofalmaadeed no cuz i’d rather believe a liar than a killer or an abuser.,2021-10-16 02:16:39+00:00,1,0,0,0
125,744831868890021888,Sayedatnafsi,إِيمَانْ عَبْد الْعَزِِيزْ,,"RT @noofalmaadeed: ""Half of those who experienced violence suffered from depression to to the violence."" (2009) 

(Let me tell you girls, i…",2021-10-16 01:37:50+00:00,1,0,0,0
126,744831868890021888,Sayedatnafsi,إِيمَانْ عَبْد الْعَزِِيزْ,,"RT @noofalmaadeed: Honor should not protect your abusers. You were born as a human, THEY were the ones to burden you with their family name…",2021-10-16 01:37:46+00:00,1,0,0,0
127,744831868890021888,Sayedatnafsi,إِيمَانْ عَبْد الْعَزِِيزْ,,RT @noofalmaadeed: A perpetrator being a family member does not excuse their abuse. #NoExcuse4Abuse https://t.co/PpBnSSmC2D,2021-10-16 01:37:41+00:00,1,0,0,0
128,744831868890021888,Sayedatnafsi,إِيمَانْ عَبْد الْعَزِِيزْ,,"RT @noofalmaadeed: Abuse is a serious issue! What would happen if you criminalise physical abuse! Will you die? Would it kill you?
(If you…",2021-10-16 01:37:35+00:00,1,0,0,0
129,744831868890021888,Sayedatnafsi,إِيمَانْ عَبْد الْعَزِِيزْ,,RT @noofalmaadeed: 23.1% (2009) of the sample of Women experienced Violence and had to endure living with a criminal who was not criminalis…,2021-10-16 01:37:00+00:00,1,0,0,0
130,744831868890021888,Sayedatnafsi,إِيمَانْ عَبْد الْعَزِِيزْ,,"RT @noofalmaadeed: Page 82: ""The Qatari Penal Code currently in force does not criminalise domestic violence"" (Al-Ghanim)

#CriminalizeDome…",2021-10-16 01:36:49+00:00,9,0,0,0
131,744831868890021888,Sayedatnafsi,إِيمَانْ عَبْد الْعَزِِيزْ,,"RT @noofalmaadeed: @AlthakiraQtr كل خير ان شاء الله
في ضباط مكلفين من ولاة الامر يهتمون فيني و يحرصون علي من اي الاخطار. الف الحمدلله 🥺❤️.…",2021-10-16 01:14:01+00:00,1,0,0,0
132,981293772951642112,ayawahibb,aya,"Doha, Qatar",RT @noofalmaadeed: الشيخ تميم الوحيد الي يقدر يوقف الخطر الي على حياتي بيديه. https://t.co/YeIgO4QNZu,2021-10-16 00:39:08+00:00,15,0,0,0
133,1425527202985091077,Qatarpi1,QATAR Public Interest (QPI)-المصلحة العامة🇶🇦 قطر,قطر,"@noofalmaadeed اعتقد قامت السلطات القطرية بسحب التلفون من نوف المعاضيد لان حكومة ديمقراطية قطر يخافون من المنظمات الحقوقية الدولية 
و ربما نوف لن ترى بعد اليوم في الإعلام 
@hrw_ar @AmnestyAR @cnnarabic @BBCArabic @MC_Doualiya @FRANCE24 
#saveNOOF #Qatar https://t.co/43i3PZQNMV",2021-10-15 23:41:52+00:00,1,0,1,0
134,1444387750850043909,AlrowailyRouda,Rouda Alrowaily,,@noofalmaadeed البنت تحتاج تبعد عن السوشل ميديا ودكتور نفسي وشيخ دين يفرمت عقلها بخصوص الدين وتتعلم أصول الدين. ونحن نحتاج نبعد عن الكتابة عنها. لان كلامنا يؤذيها ويؤذي أهلها,2021-10-15 23:26:32+00:00,1,8,16,9
